identifier,path,gcp_file_id,folder_name,author_subject,type,Years,gcp_folder_id,file_name,ocr_writen_on,ocr_writen_by,ocr_main_content,ocr_additional_content,ocr_writen_on_coords,ocr_writen_by_coords,ocr_main_content_coords,ocr_additional_content_coords,paragraphs_detection_successes,ocr_all_text_preprocess,ocr_all_text_no_preprocess,ocr_main_content_all_text_preprocess,ocr_main_content_all_text_no_preprocess,years,gcp_image_link,gcp_folder_link,is_handwritten
IDGNAZIM0001149,"\CD00085 גורי, חיים - גורי, חיים\1131.tif",16HuSh1pPgzcLIeDgEFno4Ett0pTdNR7Q,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1131.tif,יים,"גורי,ת",מאצין'- --הירס ע רניולכמכורר חייםוסירתגוריהולנרהבאונ,"יים
גורי,ת
","855,63 1124,63 855,145 1124,145","855,63 1124,63 855,145 1124,145","94,271 1120,271 94,434 1120,434","855,63 1124,63 855,145 1124,145",TRUE,"יים גורי,ת ","גורי'.חיים מאמין הפרס ע""ש מנדל וטקלה הוענק באונ"" בר-אילן למשורר חיים גורי דבר.יז סיון תטמז 14.6.1987עמ8 6 ",,"ס ע""ש מנדל וטקלה הוענק באונ"" בר-אילן למשורר חיים גורי דבר.יז סיון תטמז 14.6.1987עמ8 6 ",1131,https://drive.google.com/file/d/16HuSh1pPgzcLIeDgEFno4Ett0pTdNR7Q,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001150,"\CD00085 גורי, חיים - גורי, חיים\1123.tif",1gR9TWbNALflS_gx7QhuylsiRLbJv2c7Y,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1123.tif,"', חיים",גור 1,"תט""ם, (1.2.80),","', חיים
גור 1
","947,88 1159,88 947,137 1159,137","947,88 1159,88 947,137 1159,137","597,495 893,495 597,546 893,546","947,88 1159,88 947,137 1159,137",TRUE,"גורי, חיים לחוב ולהיות (מדור רש'מות סוף השכוק, חתוס הגור) דבר, יד שסבט תש""ם,(1.2.80), עמ""2 ","גורי, ח?**ם לשוב ולהיות (מדור רשימות סוף השבוע, חתום חגור) מדבר, יד שבט תש""ם, (1.2,80), עמ""2 ","ור רש'מות סוף השכוק, חתוס הגור) דבר, יד שסבט תש""ם,(1.2.80), עמ""2 ","דור רשימות סוף השבוע, חתום חגור) מדבר, יד שבט תש""ם, (1.2,80), עמ""2 ",1123,https://drive.google.com/file/d/1gR9TWbNALflS_gx7QhuylsiRLbJv2c7Y,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001151,"\CD00085 גורי, חיים - גורי, חיים\1119.tif",1fOrHeRJbp0xO3PbBA9AuDX5ND12HuJxp,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1119.tif,"גורי, חייס",,"דבר, כב סיון הש""ם,(6.6.80),ע-27","לפני 1 שנים
","797,81 1026,81 797,146 1026,146",,"319,529 976,529 319,599 976,599","570,212 842,212 570,272 842,272",TRUE,"גורי, חייס לפני 1 שנים חהום חגור דבר, כב סיון הש""ם,(6.6.80),ע-27 ","גורי, חייס לפני 13 שנים חתום הגור דבר, כב סיון תס""מ, (6.6480),עמ""2 "," חהום חגור דבר, כב סיון הש""ם,(6.6.80),ע-27 ","ם חתום הגור דבר, כב סיון תס""מ, (6.6480),עמ""2 ",1119,https://drive.google.com/file/d/1fOrHeRJbp0xO3PbBA9AuDX5ND12HuJxp,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001152,"\CD00085 גורי, חיים - גורי, חיים\1108.tif",1DgLNYGmdo1Xy-IJJ8Zu4e4XjoIIMDTtv,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1108.tif,:ורי היים,,:ורי היים,,"1007,20 1228,20 1007,99 1228,99",,"1007,20 1228,20 1007,99 1228,99",,TRUE,דבר. :ורי. הייס ,"למה הת ום: ה- ב דבר. ר טבר תשמו. 16,1.1986 עמל ",. הייס ,": ה- ב דבר. ר טבר תשמו. 16,1.1986 עמל ",1108,https://drive.google.com/file/d/1DgLNYGmdo1Xy-IJJ8Zu4e4XjoIIMDTtv,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001153,"\CD00085 גורי, חיים - גורי, חיים\1124.tif",19gD-JWLkUyQbbDllLiXe4yh8xSSKIZeE,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1124.tif,"גורי, חיים",---הה--1-=,"למרחג,17.9.1956, עם"" 2","גורי, חיים
---הה--1-=
","948,81 1222,81 948,146 1222,146","948,81 1222,81 948,146 1222,146","398,600 869,600 398,665 869,665","948,81 1222,81 948,146 1222,146",TRUE,"גורי, חייסם המאדים (מה אומרים?) ( חתום בי למרחג,17.9.1956, עם"" 2 ","גורי, חיים המאדים (מה אומרים?) ( התום זא למרזב,17.9.1956, עמ"" 2 ","למרחג,17.9.1956, עם"" 2 ","מרזב,17.9.1956, עמ"" 2 ",1124,https://drive.google.com/file/d/19gD-JWLkUyQbbDllLiXe4yh8xSSKIZeE,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001154,"\CD00085 גורי, חיים - גורי, חיים\1135.tif",1o2kDOmhoYVUWSqDQfcR1MRZ--yfGxYc1,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1135.tif,גוורי חיים,|- |,המארה ‏ [מדור: מה אומרים ?]וחתוס: חגי:,"גוורי חיים
|- |
","929,95 1255,95 929,178 1255,178","929,95 1255,95 929,178 1255,178","400,285 1098,285 400,431 1098,431","929,95 1255,95 929,178 1255,178",TRUE,גווי חיים המארה ‏ [מדור: מה אומרים ?] וחתוס: חגי: ,"גורי, חיים המארח [מדור: מה אומריט ?] [חתום: חגי] למרחב, 8.4.1969, עמ' 2 ",מרים ?] וחתוס: חגי: ,"ריט ?] [חתום: חגי] למרחב, 8.4.1969, עמ' 2 ",1135,https://drive.google.com/file/d/1o2kDOmhoYVUWSqDQfcR1MRZ--yfGxYc1,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001155,"\CD00085 גורי, חיים - גורי, חיים\1107.tif",1ck4vqbQHUWuAK-fW5fcTQuhNRAHRhVmG,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1107.tif,גורי.חיים,,"העיר חל אביב.יס השרי תסמו,4.102.1985ע25,220","לפמה אני כוהב-כשאל
רק הטריקה
","907,35 1171,35 907,109 1171,109",,"62,518 1165,518 62,736 1165,736","522,239 987,239 522,360 987,360",TRUE,"גורי.חיים לפמה אני כוהב-כשאל רק הטריקה העיר חל אביב.יס השרי תסמו,4.102.1985ע25,220 ","גורי.חיים למה אני כותב-משאל רק השתיקה העיר תל אביב.יט תשרי תשמו,94.10.1985מ25,22 "," העיר חל אביב.יס השרי תסמו,4.102.1985ע25,220 ","העיר תל אביב.יט תשרי תשמו,94.10.1985מ25,22 ",1107,https://drive.google.com/file/d/1ck4vqbQHUWuAK-fW5fcTQuhNRAHRhVmG,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001156,"\CD00085 גורי, חיים - גורי, חיים\1132.tif",19ktD2q7svIhsnfkR4R1FuZjmRzBDWdX6,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1132.tif,גורי חיי,וו,פאקאריוס (פה אופרים?)| חתוס תגי,"לפמרחב, 13.3.1956, עמ' 2
","826,96 1156,96 826,183 1156,183","826,96 1156,96 826,183 1156,183","277,295 892,295 277,473 892,473","352,604 999,604 352,691 999,691",TRUE,"גורי חיים פאקאריוס (פה אופרים?) | חתוס תגי לפמרחב, 13.3.1956, עמ' 2 ","""גורי, חיים מאקאריוס %מה אומרזיםל) ( חתום תגי ) למרתחב, 18.5.1956, עמ' 2 ","תוס תגי לפמרחב, 13.3.1956, עמ' 2 ","( חתום תגי ) למרתחב, 18.5.1956, עמ' 2 ",1132,https://drive.google.com/file/d/19ktD2q7svIhsnfkR4R1FuZjmRzBDWdX6,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001157,"\CD00085 גורי, חיים - גורי, חיים\1127.tif",13T2z_QBtmy8ulnOHxX8OWwjgy7YkF7PO,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1127.tif,ופ %!ארוסו,4 50,ופ %!ארוסו4 50,"| תק ' תאו
","641,203 988,203 641,436 988,436","641,203 988,203 641,436 988,436","641,203 988,203 641,436 988,436","161,459 502,459 161,594 502,594",TRUE,"]00 ,תעכ 0 0 ו( מרוס 2 60 4 | תק ' תאו 2/6 8,305] ",תכ | ג | לאו-ן | ת|ק ו 53 ל 7 ּ. 0 0 22 0-0 | ," 4 | תק ' תאו 2/6 8,305] ", ל 7 ּ. 0 0 22 0-0 | ,1127,https://drive.google.com/file/d/13T2z_QBtmy8ulnOHxX8OWwjgy7YkF7PO,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1
IDGNAZIM0001158,"\CD00085 גורי, חיים - גורי, חיים\1113.tif",1lVSAXOZNNeKZAx2NC_g8HesWxSUetTkq,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1113.tif,"גורי, חיים",,"גורי, חיים","במחגה,
","865,57 1170,57 865,117 1170,117",,"865,57 1170,57 865,117 1170,117","1003,332 1167,332 1003,386 1167,386",TRUE,"גורי, חיים לנכח דמותו (קסע) [פיר] במפהנה, גליון 3-2, 7.9.50, פסי 29 ","גורי, חַיים לבכבח דמותר (קטע) [שיר] במהגה, כלירך 3-2, 7,9,50, צמ' 29 ","מותו (קסע) [פיר] במפהנה, גליון 3-2, 7.9.50, פסי 29 "," דמותר (קטע) [שיר] במהגה, כלירך 3-2, 7,9,50, צמ' 29 ",1113,https://drive.google.com/file/d/1lVSAXOZNNeKZAx2NC_g8HesWxSUetTkq,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001159,"\CD00085 גורי, חיים - גורי, חיים\1111.tif",1wtk_s4iQYJW7lWu125zrO39dNIxrAGZe,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1111.tif,"גורי,בחייםס",=----1-----,"גורי,בחייםס=----1-----","לקהרה...
","919,131 1151,131 919,195 1151,195","919,131 1151,131 919,195 1151,195","919,131 1151,131 919,195 1151,195","556,380 757,380 556,433 757,433",TRUE,"גורי, ס חירו ה לקהרה... [רכיפה ","גורי,חיים למחרת... [רשימהן למרחב,5.8.1955,פמ. 2 ",,"ב,5.8.1955,פמ. 2 ",1111,https://drive.google.com/file/d/1wtk_s4iQYJW7lWu125zrO39dNIxrAGZe,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001160,"\CD00085 גורי, חיים - גורי, חיים\1136.tif",1B76qAqWsiFI0HT-t1bQxU5C4iQapcz5l,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1136.tif,"למרחב, 19.8.56, ע* 2",,"מארסינאל מר אומרים?, חהוס: הג )","למרחב, 19.8.56, ע* 2
","580,570 1028,570 580,648 1028,648",,"58,281 785,281 58,400 785,400","580,570 1028,570 580,648 1028,648",TRUE,"מארסינאל מר אומרים?, חהוס: הג ) למרחב, 19.8.56, ע* 2 ","גורי, חיים מארסינאל | מה אומרים?, חתום: חגי ) למרחב, 6, ע"" 2 ",".8.56, ע* 2 ","גי ) למרחב, 6, ע"" 2 ",1136,https://drive.google.com/file/d/1B76qAqWsiFI0HT-t1bQxU5C4iQapcz5l,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001161,"\CD00085 גורי, חיים - גורי, חיים\1121.tif",1emPvR9jupgQUaZfN4NzEcotCEoto1rqS,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1121.tif,אלורי-,,אלורי-,":ו
","784,200 945,200 784,246 945,246",,"784,200 945,200 784,246 945,246","734,202 775,202 734,253 775,253",TRUE,,"גורי,חיים לקחת אתה אלוהים ברצינות דבר.ח אב תשמח22,7,1|938 ",," לקחת אתה אלוהים ברצינות דבר.ח אב תשמח22,7,1|938 ",1121,https://drive.google.com/file/d/1emPvR9jupgQUaZfN4NzEcotCEoto1rqS,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001162,"\CD00085 גורי, חיים - גורי, חיים\1129.tif",1IglhduwiXtYQAVPWbJS95_Nqw31-CX6Y,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1129.tif,גורי חיים,----,גורי חיים----,"סאו-טססה-סונג
","857,69 1136,69 857,131 1136,131","857,69 1136,69 857,131 1136,131","857,69 1136,69 857,131 1136,131","563,317 895,317 563,366 895,366",TRUE,"גורי, חיים סאו-טססה-סונג | חתום חגור ) - - למרחב,ססא, 19.12.1958, עס' 3 ","גורי, חיים מאו-טסה-טובג | חתום הגור ) למרחב,משטשא, 19,18.1958, עמ' 5 ","חתום חגור ) - - למרחב,ססא, 19.12.1958, עס' 3 ","תום הגור ) למרחב,משטשא, 19,18.1958, עמ' 5 ",1129,https://drive.google.com/file/d/1IglhduwiXtYQAVPWbJS95_Nqw31-CX6Y,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001163,"\CD00085 גורי, חיים - גורי, חיים\1118.tif",1SeIbV5xFY9HtyyE1j8gKzccIk5LRApE9,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1118.tif,גורי היים,,"לכוי כרכבתה הגבגודית[נר אוכרים,ד, וכ:רגיי ן","לכרחב,9הרו.14.7,לה.
","935,132 1171,132 935,204 1171,204",,"385,397 873,397 385,527 873,527","771,630 1277,630 771,703 1277,703",TRUE,"גורי,דהייס לכוי כרכבתה הגבגודית [נר אוכרים,ד, וכ:רגיי ן לכרחב,99הו.14.7,עמ. 2 ","בורו הירם לפגי מרכבת הצדיק [ מה אומרים,חת ום:הבי] למרחב, 14.7.1959,עמ. 2 ","ית [נר אוכרים,ד, וכ:רגיי ן לכרחב,99הו.14.7,עמ. 2 ","מה אומרים,חת ום:הבי] למרחב, 14.7.1959,עמ. 2 ",1118,https://drive.google.com/file/d/1SeIbV5xFY9HtyyE1j8gKzccIk5LRApE9,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001164,"\CD00085 גורי, חיים - גורי, חיים\1109.tif",1k0b1IJaGCRQIOYQv0ntQ7k5P36ruocw4,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1109.tif,י,"גורי, חיים","דבר, ח"" אלול תסל""ן,(3,9.76),עם"" 2","(פרור רסימות סוף השבול)
","971,133 1201,133 971,198 1201,198","971,133 1201,133 971,198 1201,198","460,606 1157,606 460,674 1157,674","503,332 992,332 503,398 992,398",TRUE,"גורי, חיים למה לו כן ולי לא? (פרור רסימות סוף השבול) | התום הגור ( דבר, ח"" אלול תסל""ן,(3,9.76),עם"" 2 9 ","גורי, חיים. למה לו בן ולי לא? (מרור רשימות טוף השבוע) ן חתום חגור ( דבר, ח"" אלול תשל""ו,(3,9.76),עמ"" 2 ","רסימות סוף השבול) | התום הגור ( דבר, ח"" אלול תסל""ן,(3,9.76),עם"" 2 9 "," רשימות טוף השבוע) ן חתום חגור ( דבר, ח"" אלול תשל""ו,(3,9.76),עמ"" 2 ",1109,https://drive.google.com/file/d/1k0b1IJaGCRQIOYQv0ntQ7k5P36ruocw4,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001165,"\CD00085 גורי, חיים - גורי, חיים\1139.tif",17QGQaZkAErUIsuH8PfQ_SsBEWxdYp2_Z,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1139.tif,"לפרחב, 9.55.""ה,",,"לפרחב, 9.55.""ה,",,"0,0 1229,0 0,907 1229,907",,"0,0 1229,0 0,907 1229,907",,TRUE,"לפרחב, 9.55.""ה, ","גורל, הלים מבצע עשר המלקות ( מה אומרים?, חתום: חגי ) למרחב, 20.5,56, ע"" 2 ", ," עשר המלקות ( מה אומרים?, חתום: חגי ) למרחב, 20.5,56, ע"" 2 ",1139,https://drive.google.com/file/d/17QGQaZkAErUIsuH8PfQ_SsBEWxdYp2_Z,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1
IDGNAZIM0001166,"\CD00085 גורי, חיים - גורי, חיים\1115.tif",1Tr-6O0pXVw8qelpjrsAq_iGVAuEUtaRd,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1115.tif,גורי חיים,------,"דבר, ל"" שבס השל""ז,(18.2.77),עמ7 2","(מדרור רסימוה כוף השבוט)
","926,131 1177,131 926,195 1177,195","926,131 1177,131 926,195 1177,195","536,606 1231,606 536,672 1231,672","376,329 864,329 376,392 864,392",TRUE,"גורי, חיים לעבר קול התותהים (מדרור רסימוה כוף השבוט) חתום תנור דבר, ל"" שבס השל""ז,(18.2.77),עמ7 2 ","גורי, חדים לעבר קול התותהים (מדור רטימות סוף השבוץ) חתום חגור דבר, ל"" שבט תשל""ז,(18,2,77),עמ"" 2 ","ה כוף השבוט) חתום תנור דבר, ל"" שבס השל""ז,(18.2.77),עמ7 2 "," סוף השבוץ) חתום חגור דבר, ל"" שבט תשל""ז,(18,2,77),עמ"" 2 ",1115,https://drive.google.com/file/d/1Tr-6O0pXVw8qelpjrsAq_iGVAuEUtaRd,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001167,"\CD00085 גורי, חיים - גורי, חיים\1120.tif",184fbd7GA-Xgx3HH_-mn-s9fLCCu3Y2fl,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1120.tif,"גורי, חייש",-ח-+.----=,"(""לפגי שניס, בסוף שירת דבורה..."".--)7(""איגני רץ..."" ) [פגי סיריס )--","דבר, מוסף לספרות ולאמנות, 3.7.1959, עם"" 5
","920,95 1154,95 920,159 1154,159","920,95 1154,95 920,159 1154,159","208,255 976,255 208,434 976,434","106,611 970,611 106,681 970,681",TRUE,"גורי, חייש (""לפגי שניס, בסוף שירת דבורה..."".--) 7 (""איגני רץ..."" ) פני סיריס ) - -- דבר, מוסף לספרות ולאמנות, 3.7.1959, עם"" 5 ","גורי, חיים ( ""לפנו שנים, בסוף שירת דבורה...""- ) (""אינני רץ...%) שני שירלט ) -- 1 דבר, מוסף לספרות ולאמנות, 3.,7.1959, עמ"" 5 ","."" ) פני סיריס ) - -- דבר, מוסף לספרות ולאמנות, 3.7.1959, עם"" 5 ",") שני שירלט ) -- 1 דבר, מוסף לספרות ולאמנות, 3.,7.1959, עמ"" 5 ",1120,https://drive.google.com/file/d/184fbd7GA-Xgx3HH_-mn-s9fLCCu3Y2fl,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001168,"\CD00085 גורי, חיים - גורי, חיים\1130.tif",1c9s18GOSZSsQWkKRRnkBXMdD-ntvv6QT,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1130.tif,גורי חיים,7-ה,"תפסל""ו (16.1.76), עמם'","גורי חיים
7-ה
","929,98 1242,98 929,163 1242,163","929,98 1242,98 929,163 1242,163","305,645 817,645 305,709 817,709","929,98 1242,98 929,163 1242,163",TRUE,"גורי, יים פאוחר סדי (ר%יסות סו5ף הסבוע) ( חתום הגור דבר, יד שבט תפל""ו,(16.1.76),עמ' 2 ","ותשאש 5 / ' ! 2 גורי, תיים מאוחר מדי (רחימות סוף השבוע) ( חתום הגור דבר, יד שבט תסל""ו,(16.1.76),עמ' 8 ","ת סו5ף הסבוע) ( חתום הגור דבר, יד שבט תפל""ו,(16.1.76),עמ' 2 "," מאוחר מדי (רחימות סוף השבוע) ( חתום הגור דבר, יד שבט תסל""ו,(16.1.76),עמ' 8 ",1130,https://drive.google.com/file/d/1c9s18GOSZSsQWkKRRnkBXMdD-ntvv6QT,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001169,"\CD00085 גורי, חיים - גורי, חיים\1138.tif",14RMEKIsm1Av3onhAe8MZNXhJAdI8a5VY,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1138.tif,ומ | ((20),,ומ | ((20),"/ 9 20 06 1
","668,0 1238,0 668,146 1238,146",,"668,0 1238,0 668,146 1238,146","420,664 970,664 420,840 970,840",TRUE,"]כ: 7 מו / כו | .5 - סי ו 3 1 7 ₪ 9 ה 1 6 | [רמק, ",202 ( 8 (5 רו 2 0[ ג ₪ ] מק 9 6 200 0 / /2 ,"י ו 3 1 7 ₪ 9 ה 1 6 | [רמק, ", ] מק 9 6 200 0 / /2 ,1138,https://drive.google.com/file/d/14RMEKIsm1Av3onhAe8MZNXhJAdI8a5VY,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1
IDGNAZIM0001170,"\CD00085 גורי, חיים - גורי, חיים\1128.tif",17OiyqsOgjOULBW8wjfgrhbCw02hMGvYc,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1128.tif,/,,"ש רכיא ,שי","9 הי ₪ 1
","646,485 736,485 646,581 736,581",,"863,523 1231,523 863,628 1231,628","247,249 575,249 247,365 575,365",TRUE,'ם ,5 2 / כל = - בו 04ב ו יי ₪( 90 מ [ 0 0% ) 0 ]7 8- 8%6י 965 : 6 / וע שג ו / ,,,1128,https://drive.google.com/file/d/17OiyqsOgjOULBW8wjfgrhbCw02hMGvYc,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1
IDGNAZIM0001171,"\CD00085 גורי, חיים - גורי, חיים\1134.tif",1AGAhphqEHiKKpt5Jwv48V5sx3T9GZ5Mn,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1134.tif,תידי,"גורי, ס",(טסדור מה אופרים?)% חתופ ח-ג79/יי-,"דבר, כ' סיון השל""ו,(75;,)18,0.76 17
","814,64 1072,64 814,128 1072,128","814,64 1072,64 814,128 1072,128","411,334 800,334 411,508 800,508","328,542 1063,542 328,609 1063,609",TRUE,"תידי גורי, ס מארוניס (טסדור מה אופרים?) % חתופ ח-ג79/ 6 -- דבר, כ' סיון השל""ו,(75;,)18,0.76 17 ","גורי, חלים מארונים (מדור מה אומרים?) | תתום ח-ג79/ דבר, כ"" סיון תשל""ו, (18.6.76),עַמ"" 17 ","ח-ג79/ 6 -- דבר, כ' סיון השל""ו,(75;,)18,0.76 17 ","79/ דבר, כ"" סיון תשל""ו, (18.6.76),עַמ"" 17 ",1134,https://drive.google.com/file/d/1AGAhphqEHiKKpt5Jwv48V5sx3T9GZ5Mn,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001172,"\CD00085 גורי, חיים - גורי, חיים\1116.tif",1KjbY0-Vhbp5SmslPpgyCjLnaGHZH11Dw,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1116.tif,"גורי, חייב",<----2--- =,"גורי, חייב<----2--- =","מה טומויפ?,
","925,102 1227,102 925,192 1227,192","925,102 1227,102 925,192 1227,192","925,102 1227,102 925,192 1227,192","143,254 468,254 143,347 468,347",TRUE,"(כדור: מה טופויפ?, הבימנים [מדו: תנין ","גורי"", תיים לפי בל הסימנים [מדור: מה אומריט?, חתום: חגי] למרחב, 11.12.1970,עמ* 2 ",תנין ," מה אומריט?, חתום: חגי] למרחב, 11.12.1970,עמ* 2 ",1116,https://drive.google.com/file/d/1KjbY0-Vhbp5SmslPpgyCjLnaGHZH11Dw,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0001173,"\CD00085 גורי, חיים - גורי, חיים\1082.tif",1Yf7Kp2MtFRGBQp4S2dSoXoOhQSq_fT2Y,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1082.tif,גורי היים,25-ל,ליד הלב [ מדור: םה טומרים ?חתום: חגי.,"גורי היים
25-ל
","948,98 1243,98 948,180 1243,180","948,98 1243,98 948,180 1243,180","212,244 988,244 212,400 988,400","948,98 1243,98 948,180 1243,180",TRUE,"גורי, היים ליד הלב [מדור: סה טומרים ?, חתום: חגי. למרחב, 9.1.1970, עמ' 2 ","גורל, הלים ליד הלב - [מדור: מח אומרים ?, חתום: חגי] למרחב, 9.1.1970, צמ* 2 "," טומרים ?, חתום: חגי. למרחב, 9.1.1970, עמ' 2 ","מח אומרים ?, חתום: חגי] למרחב, 9.1.1970, צמ* 2 ",1082,https://drive.google.com/file/d/1Yf7Kp2MtFRGBQp4S2dSoXoOhQSq_fT2Y,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
